sequencenum,timestamp,context,event,detail,timestampint,contextinint,contextint,contextoutint,eventint,eventoffset,eventsize,eventdata
0,0.000 000 000,"Idle","Start","",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,10,10,2,0A 00 
1,0.000 000 000,"Idle","Init","Cycle Freq.: 16000000, CPU Freq.: 16000000, ID Base: 0x20000000, ID Shift: 0",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,24,12,17,18 0E 80 C8 D0 07 80 C8 D0 07 80 80 80 80 02 00 00 
2,0.000 000 000,"Idle","System Description","N=FreeRTOS Application,D=Cortex-M4,O=FreeRTOS",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,14,29,48,0E 2D 4E 3D 46 72 65 65 52 54 4F 53 20 41 70 70 6C 69 63 61 74 69 6F 6E 2C 44 3D 43 6F 72 74 65 78 2D 4D 34 2C 4F 3D 46 72 65 65 52 54 4F 53 00 
3,0.000 000 000,"Idle","System Description","I#15=SysTick",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,14,77,15,0E 0C 49 23 31 35 3D 53 79 73 54 69 63 6B 00 
4,0.000 000 000,"Idle","System Time (us)","0 us",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,13,92,4,0D 00 00 00 
5,0.000 000 000,"Idle","Num Modules","Registered Modules: 0",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,27,96,4,1B 01 00 00 
6,0.000 000 000,"Idle","Task Create","Task-1 (0x00000468)",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,8,100,4,08 E8 08 00 
7,0.000 000 000,"Idle","Task Info","Task-1 (0x00000468): Priority=1",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,9,104,12,09 E8 08 01 06 54 61 73 6B 2D 31 00 
8,0.000 000 000,"Idle","Stack Info","Task-1 (0x00000468): 444 @ 0x20000258",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,21,116,12,15 E8 08 D8 84 80 80 02 BC 03 00 00 
9,0.000 000 000,"Idle","Task Ready","Task-1, runs after 0.000 us",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,6,128,4,06 E8 08 00 
10,0.000 000 000,"Idle","Task Create","Task-2 (0x000006D8)",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,8,132,4,08 D8 0D 00 
11,0.000 000 000,"Idle","Task Info","Task-2 (0x000006D8): Priority=2",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,9,136,12,09 D8 0D 02 06 54 61 73 6B 2D 32 00 
12,0.000 000 000,"Idle","Stack Info","Task-2 (0x000006D8): 444 @ 0x200004C8",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,21,148,12,15 D8 0D C8 89 80 80 02 BC 03 00 00 
13,0.000 000 000,"Idle","Task Ready","Task-2, runs after 0.000 us",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,6,160,4,06 D8 0D 00 
14,0.000 000 000,"Idle","Task Create","Task 0x948 (0x00000948)",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,8,164,4,08 C8 12 00 
15,0.000 000 000,"Idle","Task Ready","Task 0x948",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,6,168,4,06 C8 12 00 
16,0.000 000 000,"Idle","xQueueGenericCreate","uxQueueLength=10 uxItemSize=12 ucQueueType=0",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,115,172,6,73 03 0A 0C 00 00 
17,0.000 000 000,"Idle","vQueueAddToRegistry","xQueue=0x200009A8 pcName=134242260",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,113,178,9,71 06 A8 13 D4 BF 81 40 00 
18,0.000 000 000,"Idle","Task Create","Tmr Svc (0x00000E98)",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,8,187,4,08 98 1D 00 
19,0.000 000 000,"Idle","Task Info","Tmr Svc (0x00000E98): Priority=2",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,9,191,13,09 98 1D 02 07 54 6D 72 20 53 76 63 00 
20,0.000 000 000,"Idle","Stack Info","Tmr Svc (0x00000E98): 964 @ 0x20000A80",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,21,204,12,15 98 1D 80 95 80 80 02 C4 07 00 00 
21,0.000 000 000,"Idle","Task Ready","Tmr Svc, runs after 0.000 us",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,6,216,4,06 98 1D 00 
22,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000000000000000,0x000000010000000F,0x000000010000000F,2,220,3,02 0F 00 
23,0.000 000 000,"SysTick","ISR Exit","Returns to Scheduler",0,0x000000010000000F,0x000000010000000F,0x0000000400000000,18,223,2,12 00 
24,0.000 000 000,"Task-2","Task Run","Runs for 0.000 us",0,0x0000000400000000,0x00000008000006D8,0x00000008000006D8,4,225,4,04 D8 0D 00 
25,0.000 000 000,"Task-2","Log","Green Led Task!!",0,0x00000008000006D8,0x00000008000006D8,0x00000008000006D8,26,229,22,1A 13 10 47 72 65 65 6E 20 4C 65 64 20 54 61 73 6B 21 21 00 00 00 
26,0.000 000 000,"Task-2","vTaskDelay","xTicksToDelay=100",0,0x00000008000006D8,0x00000008000006D8,0x00000008000006D8,35,251,4,23 01 64 00 
27,0.000 000 000,"Task-2","Task Block","Delayed",0,0x00000008000006D8,0x00000008000006D8,0x0000000400000000,7,255,5,07 D8 0D 04 00 
28,0.000 000 000,"Tmr Svc","Task Run","Runs for 0.000 us",0,0x0000000400000000,0x0000000800000E98,0x0000000800000E98,4,260,4,04 98 1D 00 
29,0.000 000 000,"Tmr Svc","vTaskDelayUntil","",0,0x0000000800000E98,0x0000000800000E98,0x0000000800000E98,36,264,3,24 00 00 
30,0.000 000 000,"Tmr Svc","Task Block","Reason=27",0,0x0000000800000E98,0x0000000800000E98,0x0000000400000000,7,267,5,07 98 1D 1B 00 
31,0.000 000 000,"Task-1","Task Run","Runs for 0.000 us",0,0x0000000400000000,0x0000000800000468,0x0000000800000468,4,272,4,04 E8 08 00 
32,0.000 000 000,"Task-1","Log","Red Led Task!!",0,0x0000000800000468,0x0000000800000468,0x0000000800000468,26,276,20,1A 11 0E 52 65 64 20 4C 65 64 20 54 61 73 6B 21 21 00 00 00 
33,0.000 000 000,"Task-1","vTaskDelay","xTicksToDelay=1000",0,0x0000000800000468,0x0000000800000468,0x0000000800000468,35,296,5,23 02 E8 07 00 
34,0.000 000 000,"Task-1","Task Block","Delayed",0,0x0000000800000468,0x0000000800000468,0x0000000400000000,7,301,5,07 E8 08 04 00 
35,0.000 000 000,"Idle","System Idle","Idle for 0.000 us",0,0x0000000400000000,0x0000001000000000,0x0000001000000000,17,306,2,11 00 
36,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,308,3,02 0F 00 
37,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,311,2,03 00 
